,KO_B477,WT_B483,WT_B559,KO_B560,KO_B561,WT_B562
ENSMUSG00000109510,0,1,0,0,0,1
ENSMUSG00000079610,56,38,56,17,37,80
ENSMUSG00000026121.,286,83,54,18,22,40
ENSMUSG00000087589,7,2,3,0,0,6
ENSMUSG00000046337.,5,0,0,0,0,0
ENSMUSG00000089906,0,0,0,0,0,0
ENSMUSG00000077939,0,0,0,0,0,0
ENSMUSG00000061518.,1585,1078,1131,333,553,1700
ENSMUSG00000037351,2326,1367,1529,463,810,2048
ENSMUSG00000102416,1,0,0,0,0,1
ENSMUSG00000104237,0,0,0,0,0,0
ENSMUSG00000026117.,80,25,41,16,19,55
ENSMUSG00000097291,0,0,0,0,0,0
ENSMUSG00000026116.,2716,980,856,413,604,1935
ENSMUSG00000103016,3,0,0,0,0,0
ENSMUSG00000102930,0,0,0,0,0,0
ENSMUSG00000103159,0,0,0,0,0,0
ENSMUSG00000080054,0,1,2,0,1,2
ENSMUSG00000095944,0,0,0,0,0,0
ENSMUSG00000050122.,33,24,25,13,1,62
ENSMUSG00000103603,0,0,0,0,0,0
ENSMUSG00000026114.,0,0,0,0,0,0
ENSMUSG00000102231,0,0,0,0,0,0
ENSMUSG00000026113.,1001,416,294,181,234,893
ENSMUSG00000086064,0,0,0,0,0,0
ENSMUSG00000102879,0,0,0,0,0,0
ENSMUSG00000026112,2604,1572,1476,492,875,2118
ENSMUSG00000026111.,693,342,367,125,203,516
ENSMUSG00000026110.,85,37,26,3,7,4
ENSMUSG00000103948,0,0,0,0,0,0
ENSMUSG00000087233,0,0,0,0,0,0
ENSMUSG00000026090.,11,0,1,2,3,0
ENSMUSG00000089767,0,0,0,0,0,0
ENSMUSG00000104365,0,0,0,0,0,0
ENSMUSG00000102650,0,0,0,0,0,0
ENSMUSG00000060771.,36,16,34,6,12,32
ENSMUSG00000097268,0,0,0,0,0,0
ENSMUSG00000037216,151,125,129,20,69,123
ENSMUSG00000026088.,151,111,133,26,61,86
ENSMUSG00000026087.,904,576,558,150,324,717
ENSMUSG00000061584,0,0,0,0,0,0
ENSMUSG00000087374,0,0,0,0,0,0
ENSMUSG00000026085.,0,0,0,0,0,0
ENSMUSG00000089141,0,0,0,0,0,0
ENSMUSG00000058407.,1193,672,629,210,409,733
ENSMUSG00000026083.,2986,1580,1618,520,954,1968
ENSMUSG00000026082.,361,190,159,76,101,263
ENSMUSG00000103804,6,2,7,3,4,6
ENSMUSG00000102716,0,0,0,0,0,0
